SPECIES,SCIENTIFIC_NAME,TAXONNAME,OLDTAXONNAME,RANK,GENUS,FAMILY,COMMONNAME,COMMONFAMILY,COMMONFAMILYALL,CRYPTIC,LMAX,LW_A,LW_B,LENGTH_CONVERSION_FACTOR,LENTYP,SLTLRAT,FLTLRAT,TROPHIC,TROPHIC_DEF,TROPHIC_MONREP,SOURCE
ABHI,Ablennes hians,Ablennes hians,NA,Species,Ablennes,Belonidae,Flat Needlefish,Rare_Families,Needlefish,NA,140,0.013,3.15,0.92,FL,NA,0.92,Pisc,Piscivore,PISCIVORE,Kulbicki Cirripectes spp.
ABAB,Abudefduf abdominalis,Abudefduf abdominalis,NA,Species,Abudefduf,Pomacentridae,Green Damselfish,Damselfish,Damselfish,NA,25,0.0226,3.132,0.89,FL,0.873,0.89,Pk,Planktivore,PLANKTIVORE,Kulbicki at genus level
ABNO,Abudefduf notatus,Abudefduf notatus,NA,Species,Abudefduf,Pomacentridae,Yellowtail Sergeant,Damselfish,Damselfish,NA,18,0.02947836,3.15196904,0.884,FL,NA,0.88,Pk,Planktivore,PLANKTIVORE,LW from ABSP
ABSP,Abudefduf septemfasciatus,Abudefduf septemfasciatus,NA,Species,Abudefduf,Pomacentridae,Banded Sergeant,Damselfish,Damselfish,NA,23,0.02947836,3.15196904,0.93,FL,0.915,0.93,H,Herbivore,PRIMARY,Kulbicki value for ABSX
ABSX,Abudefduf sexfasciatus,Abudefduf sexfasciatus,NA,Species,Abudefduf,Pomacentridae,Scissortail Sergeant,Damselfish,Damselfish,NA,15,0.02128,3.15197,0.88,FL,0.88,0.88,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
ABSO,Abudefduf sordidus,Abudefduf sordidus,NA,Species,Abudefduf,Pomacentridae,Blackspot Sergeant,Damselfish,Damselfish,NA,24,0.0246,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
ABVA,Abudefduf vaigiensis,Abudefduf vaigiensis,NA,Species,Abudefduf,Pomacentridae,Indo-Pacific Sergeant,Damselfish,Damselfish,NA,20,0.03,2.8,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
ACPO,Acanthochromis polyacanthus,Acanthochromis polyacanthus,NA,Species,Acanthochromis,Pomacentridae,Spiny Chromis,Damselfish,Damselfish,NA,999,0.0135,3.312,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB
ACSO,Acanthocybium solandri,Acanthocybium solandri,NA,Species,Acanthocybium,Scombridae,Wahoo,Rare_Families,Mackerel,NA,250,0.0025,3.19,0.98,FL,0.908,0.98,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
SURG,Acanthuridae,Acanthuridae,NA,Family,Acanthuridae,Acanthuridae,Acanthuridae,Surgeonfish,Surgeonfish,NA,70,0.02803,2.98288,0.9,FL,NA,0.9,H,Herbivore,PRIMARY,Kulbicki 2005
