REGION_NAME,LW_B,LENGTH_CONVERSION_FACTOR,LMAX,LATITUDE,LONGITUDE,OBS_YEAR,SITEVISITID,DATE_,HABITAT_CODE,REPLICATEID,COMMONNAME,GENUS,SCIENTIFIC_NAME,MAX_HEIGHT,COMPLEXITY,SUBSTRATE_HEIGHT_0,SUBSTRATE_HEIGHT_20,SUBSTRATE_HEIGHT_50,SUBSTRATE_HEIGHT_100,SUBSTRATE_HEIGHT_150,OTHERBENTHIC,TAXONNAME,DEPTH,HARD_CORAL,MA,TA,CCA,SAND,OTHER,TRAINING_YN,OBS_TYPE,TROPHIC_MONREP,TROPHIC,ISLAND,SITE,REEF_ZONE,DEPTH_BIN,DIVER,REP,METHOD,SPECIES,COUNT,SIZE_,FAMILY,COMMONFAMILYALL,LW_A
NWHI,3.109,1,70,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Ember parrotfish,Scarus,Scarus rubroviolaceus,3,,,,,,,,Scarus rubroviolaceus,19.5072,,,,,,,0,N,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,SCRU,2,47,Scaridae,Parrotfish,0.0136
NWHI,3.109,1,70,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Ember parrotfish,Scarus,Scarus rubroviolaceus,3,,,,,,,,Scarus rubroviolaceus,19.5072,,,,,,,0,N,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,SCRU,1,50,Scaridae,Parrotfish,0.0136
NWHI,3.05,1,55,21.986726,-160.135459,2024,57005,10-Sep-24,PAV,2000000929,Hawaiian Hogfish,Bodianus,Bodianus albotaeniatus,0.4,,,,,,,,Bodianus albotaeniatus,15.24,,,,,,,0,N,SECONDARY,MI,Niihau,NII-2802,,,HYW,A,nSPC,BOAL,1,42,Labridae,Wrasse,0.01202
NWHI,3.055,0.86,40,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Orangespot surgeonfish,Acanthurus,Acanthurus olivaceus,3,,,,,,,,Acanthurus olivaceus,19.5072,,,,,,,0,I,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,ACOL,1,28,Acanthuridae,Surgeonfish,0.03839
NWHI,3,1,24,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Spotted surgeonfish,Ctenochaetus,Ctenochaetus strigosus,3,,,,,,,,Ctenochaetus strigosus,19.5072,,,,,,,0,I,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,CTST,1,15,Acanthuridae,Surgeonfish,0.022
NWHI,2.974,0.89,117,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000930,Bluefin trevally,Caranx,Caranx melampygus,3,,,,,,,,Caranx melampygus,18.8976,,,,,,,0,I,PISCIVORE,Pisc,Niihau,NII-2756,,,AH2,A,nSPC,CAME,2,35,Carangidae,Jack,0.02866
NWHI,3.109,1,70,21.986726,-160.135459,2024,57005,10-Sep-24,PAV,2000000929,Ember parrotfish,Scarus,Scarus rubroviolaceus,0.4,,,,,,,,Scarus rubroviolaceus,15.24,,,,,,,0,N,PRIMARY,H,Niihau,NII-2802,,,HYW,A,nSPC,SCRU,1,32,Scaridae,Parrotfish,0.0136
NWHI,3,1,24,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Spotted surgeonfish,Ctenochaetus,Ctenochaetus strigosus,3,,,,,,,,Ctenochaetus strigosus,19.5072,,,,,,,0,I,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,CTST,1,19,Acanthuridae,Surgeonfish,0.022
NWHI,3,1,24,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Spotted surgeonfish,Ctenochaetus,Ctenochaetus strigosus,3,,,,,,,,Ctenochaetus strigosus,19.5072,,,,,,,0,I,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,CTST,2,12,Acanthuridae,Surgeonfish,0.022
NWHI,3.02837,0.91,23,21.986726,-160.135459,2024,57005,10-Sep-24,PAV,2000000929,Brown surgeonfish,Acanthurus,Acanthurus nigrofuscus,0.4,,,,,,,,Acanthurus nigrofuscus,15.24,,,,,,,0,I,PRIMARY,H,Niihau,NII-2802,,,HYW,A,nSPC,ACNF,1,10,Acanthuridae,Surgeonfish,0.02637
NWHI,3.02837,0.91,23,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Brown surgeonfish,Acanthurus,Acanthurus nigrofuscus,3,,,,,,,,Acanthurus nigrofuscus,19.5072,,,,,,,0,I,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,ACNF,2,11,Acanthuridae,Surgeonfish,0.02637
NWHI,3.02837,0.91,23,21.986726,-160.135459,2024,57005,10-Sep-24,PAV,2000000929,Brown surgeonfish,Acanthurus,Acanthurus nigrofuscus,0.4,,,,,,,,Acanthurus nigrofuscus,15.24,,,,,,,0,I,PRIMARY,H,Niihau,NII-2802,,,HYW,A,nSPC,ACNF,1,6,Acanthuridae,Surgeonfish,0.02637
NWHI,3.25,0.97,46,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Orangespine unicornfish,Naso,Naso lituratus,3,,,,,,,,Naso lituratus,19.5072,,,,,,,0,I,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,NALI,1,28,Acanthuridae,Surgeonfish,0.0085
NWHI,3,1,28,21.986726,-160.135459,2024,57005,10-Sep-24,PAV,2000000929,Boomerang triggerfish,Sufflamen,Sufflamen bursa,0.4,,,,,,,,Sufflamen bursa,15.24,,,,,,,0,I,SECONDARY,MI,Niihau,NII-2802,,,HYW,A,nSPC,SUBU,1,24,Balistidae,Triggerfish,0.0216
NWHI,3,1,28,21.986726,-160.135459,2024,57005,10-Sep-24,PAV,2000000929,Boomerang triggerfish,Sufflamen,Sufflamen bursa,0.4,,,,,,,,Sufflamen bursa,15.24,,,,,,,0,I,SECONDARY,MI,Niihau,NII-2802,,,HYW,A,nSPC,SUBU,1,20,Balistidae,Triggerfish,0.0216
NWHI,2.88627,0.9,112,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000930,Green jobfish,Aprion,Aprion virescens,3,,,,,,,,Aprion virescens,18.8976,,,,,,,0,I,PISCIVORE,Pisc,Niihau,NII-2756,,,AH2,A,nSPC,APVI,1,40,Lutjanidae,Snapper,0.02297
NWHI,3,1,28,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Boomerang triggerfish,Sufflamen,Sufflamen bursa,3,,,,,,,,Sufflamen bursa,19.5072,,,,,,,0,I,SECONDARY,MI,Niihau,NII-2756,,,CC,A,nSPC,SUBU,1,17,Balistidae,Triggerfish,0.0216
NWHI,3.03482768,1,38,21.958585,-160.136754,2024,57006,10-Sep-24,AGR,2000000934,Masked triggerfish,Sufflamen,Sufflamen fraenatum,0.2,,,,,,,,Sufflamen fraenatum,9.7536,,,,,,,0,I,SECONDARY,MI,Niihau,NII-2804,,,MP1,A,nSPC,SUFR,1,27,Balistidae,Triggerfish,0.02881318
NWHI,3,1,28,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Boomerang triggerfish,Sufflamen,Sufflamen bursa,3,,,,,,,,Sufflamen bursa,19.5072,,,,,,,0,I,SECONDARY,MI,Niihau,NII-2756,,,CC,A,nSPC,SUBU,2,16,Balistidae,Triggerfish,0.0216
NWHI,3.554,1,34,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Pinktail triggerfish,Melichthys,Melichthys vidua,3,,,,,,,,Melichthys vidua,19.5072,,,,,,,0,N,PRIMARY,H,Niihau,NII-2756,,,CC,A,nSPC,MEVI,1,21,Balistidae,Triggerfish,0.0058
NWHI,3.03482768,1,38,21.964998,-160.14387,2024,57003,10-Sep-24,SAG,2000000928,Masked triggerfish,Sufflamen,Sufflamen fraenatum,3,,,,,,,,Sufflamen fraenatum,19.5072,,,,,,,0,I,SECONDARY,MI,Niihau,NII-2756,,,CC,A,nSPC,SUFR,1,22,Balistidae,Triggerfish,0.02881318
NWHI,3.097,0.9,26,21.986726,-160.135459,2024,57005,10-Sep-24,PAV,2000000929,Saddle wrasse,Thalassoma,Thalassoma duperrey,0.4,,,,,,,,Thalassoma duperrey,15.24,,,,,,,0,I,SECONDARY,MI,Niihau,NII-2802,,,HYW,A,nSPC,THDU,3,11,Labridae,Wrasse,0.0123
