REGION,ISLANDCODE,ISLAND,TOP_YMAX,BOTTOM_YMIN,LEFT_XMIN,RIGHT_XMAX,INCLUDED ISLANDS
AMSM,OFU,Ofu,-14.14,-14.201,-169.697,-169.591,
AMSM,TAU,Tau,-14.204,-14.282,-169.537,-169.4,
AMSM,MANUA,Manua,-14.054682,-14.37021,-169.782433,-169.320866,"Ofu & Olosega, and Tau"
AMSM,ROS,Rose,-14.434921,-14.652548,-168.267431,-168.042179,
AMSM,SWA,Swains,-10.95288,-11.159137,-171.184267,-170.971783,
AMSM,TUT,Tutuila,-14.12056,-14.466685,-171.000659,-170.406809,
MHI,HAW,Hawaii,20.37775,18.55,-156.171219,-154.69967,
MHI,KAH,Kahoolawe,20.645,20.48,-156.733,-156.514,
MHI,KAU,Kauai,22.343794,21.765073,-159.898711,-159.181304,
MHI,KAL,Kaula,21.752925,21.557766,-160.642657,-160.437718,
MHI,LAN,Lanai,20.968,20.695,-156.7498,-157.115,
MHI,MAI,Maui,21.0612,20.501,-155.927,-156.774,
MHI,MAIKAH,MauiKahoolawe,21.0612,20.48,-156.514,-156.714,
MHI,MAUINUI,Mauinui,21.324304,20.398306,-157.4388,-155.861034,"Maui, Lanai, Molokai, Kahoolawe, and Molokini"
MHI,MOL,Molokai,21.29,20.98,-157.39,-156.65,
MHI,NII,Niihau,22.148303,21.680982,-160.380075,-159.946502,
MHI,OAH,Oahu,21.811638,21.146739,-158.400692,-157.51771,
MARIAN,AGR,Agrihan,18.90583366,18.63111328,145.5382817,145.8003282,
MARIAN,AGU,Aguijan,14.875,14.837,145.533,145.572,
MARIAN,ALA,Alamagan,17.71402823,17.48672051,145.7157085,145.9508558,
MARIAN,ANA,Anatahan,16.46393181,16.23984503,145.537878,145.8201909,
MARIAN,ARA,Aracas,15.73015706,15.53701312,142.662053,142.859522,
MARIAN,ASC,Asuncion,19.80150409,19.58087554,145.2890148,145.5181765,
MARIAN,FDM,Farallon de medinilla,16.146119,15.911985,145.955707,146.168031,
MARIAN,FDP,Farallon de pajaros,20.647661,20.442782,144.78751,145.005021,
MARIAN,GUA,Guam,13.686,13.22,144.595,144.993,
MARIAN,GUAGALELE,Guagale,13.754956,12.967977,144.35196,145.060655,"Guam, Galvez, Eleventh Mile"
MARIAN,GUG,Guguan,17.41564491,17.20293155,145.7350738,145.9509067,
MARIAN,MAU,Maug,20.0381676,20.0072497,145.2040552,145.2429664,
MARIAN,MAUSUP,Mausup,20.236849,19.915456,144.999881,145.338155,
MARIAN,PAG,Pagan,18.26245551,17.94783619,145.6043828,145.9108639,
MARIAN,PAT,Pathfinder,16.602857,16.409284,143.048647,143.251151,
MARIAN,ROT,Rota,14.29604049,14.01681214,145.0262499,145.3877776,
MARIAN,SAI,Saipan,15.3,15.084,145.645,145.838,
MARIAN,SAITINAGU,Saipantinianaguijan,15.384356,14.734272,145.425451,145.929886,"Saipan, Tinian and Aguijan"
MARIAN,SAR,Sarigan,16.7216996,16.6878745,145.7637598,154.7943661,
MARIAN,SARZEA,Sariganzelandia,16.98926,16.59902,145.668741,145.950762,Sarigan and Zealandia
MARIAN,STI,Stingray,20.589671,20.400125,142.338802,142.539967,
MARIAN,TIN,Tinian,15.11,14.913,145.57,145.679,
NWHI,FFS,French Frigate Shoals,23.979235,23.52903,-166.473593,-165.94556,
NWHI,GAR,Gardner,25.292244,24.288065,-168.382561,-167.765343,
NWHI,KUR,Kure,28.48,28.35,-178.4,-178.26,
NWHI,LAY,Laysan,25.81,25.71,-171.78,-171.67,
NWHI,LIS,Lisianski,26.204435,25.781197,-174.202766,-173.705208,
NWHI,MAR,Maro,25.723429,25.163489,-170.983512,-170.255723,
NWHI,MID,Midway,28.3,28.16,-177.45,-177.28,
NWHI,NEC,Necker,23.680135,23.196571,-164.926998,-164.377516,
NWHI,NIH,Nihoa,23.177469,22.924805,-162.06793,-161.766236,
NWHI,PHR,Pearl and Hermes,28.064043,27.657314,-176.123941,-175.609942,
PRIA,BAK,Baker,0.299697,0.09523,-176.579031,-176.365148,
PRIA,HOW,Howland,0.916334,0.699185,-176.716683,-176.518939,
PRIA,JAR,Jarvis,-0.269074,-0.473537,-160.105917,-159.881255,
PRIA,JOH,Johnston,16.884038,16.562893,-169.666235,-169.252941,
PRIA,KIN,Kingman,6.546893,6.286774,-162.570888,-162.240753,
PRIA,PAL,Palmyra,5.991291,5.769,-162.261936,-161.907118,
PRIA,WAK,Wake,19.417938,19.175334,166.497049,166.758215,
