Island,Island_Code,Island_Shp_Name,GIS_reference_sector,GIS_reference_reefzone
Agrihan,agr,AGRIHAN,,
Aguijan,agu,AGUIJAN,,
Alamagan,ala,ALAMAGAN,,
Anatahan,ana,ANATAHAN,,
Arakane,ara,,,
Asuncion,asc,ASUNCION,,
Baker,bak,BAKER,,bak
Farallon_de_Pajaros,fdp,FARALLON DE PAJAROS,,
French_Frigate,ffs,FRENCH FRIGATE SHOALS,,FFS
Gardner,gar,GARDNER PINNACLES,,
Guam,gua,GUAM,gua,gua
Guguan,gug,GUGUAN,,
Hawaii,haw,HAWAII,HAW,HAW
Howland,how,HOWLAND,,how
Jarvis,jar,JARVIS,,jar
Johnston,joh,JOHNSTON ATOLL,,joh
Kahoolawe,kah,KAHOOLAWE,MHI,
Kanton,k,,,
Kauai,kau,KAUAI,MHI,kau
Kaula,kal,KAULA ROCK,MHI,
Kingman,kin,KINGMAN REEF,,kin
Kure,kur,KURE ATOLL,,kur
Lanai,lan,LANAI,MHI,lan
Laysan,lay,LAYSAN,,lay
Lehua,leh,LEHUA,MHI,
Lisianski,lis,LISIANSKI / NEVA SHOALS,,
Maro,mar,,,mar
Maug,mau,MAUG,,
Maui,mai,MAUI,,mai
Midway,mid,MIDWAY,,mid
Molokai,mol,MOLOKAI,MHI,mol
Molokini,moi,MOLOKINI,,
Necker,nec,NECKER,,
New_Britain,kim,,,
Nihoa,nih,NIHOA,,
Niihau,nii,NIIHAU,MHI,nii
Nikumaroro,n,,,
Oahu,oah,OAHU,MHI,oah
Ofu_&_Olosega,ofu,OFU,NMSAS,
Pagan,pag,PAGAN,,
Palmyra,pal,PALMYRA ATOLL,,pal
Pathfinder,pat,,,
Pearl_&_Hermes,phr,PEARL AND HERMES REEF,,phr
Rose,ros,ROSE,NMSAS,ros
Rota,rot,ROTA,,rot
Saipan,sai,SAIPAN,,sai
Santa_Rosa,srr,,,
Sarigan,sar,SARIGAN,,
South_Bank,sob,,,
Stingray,sti,,,
Supply,sup,,,
Swains,swa,SWAINS,NMSAS,swa
Tau,tau,TAU,NMSAS,
Tinian,tin,TINIAN,,tin
Tutuila,tut,TUTUILA,tut,tut
Wake,wak,WAKE,,WAK
